Electorate,Party,Safety,Margin
Algester,ALP,Safe,28.85
Aspley,ALP,Marginal,2.34
Bancroft,ALP,Safe,12.41
Barron River,ALP,Marginal,3.72
Bonney,LNP,Marginal,3.38
Broadwater,LNP,Safe,35.96
Buderim,LNP,Safe,22.81
Bulimba,ALP,Safe,21.56
Bundaberg,LNP,Fairly Safe,8.40
Bundamba,ALP,Safe,43.11
Burdekin,LNP,Swing,1.60
Burleigh,LNP,Fairly Safe,9.71
Burnett,LNP,Safe,21.31
Cairns,ALP,Fairly Safe,6.78
Callide,LNP,Safe,12.23
Caloundra,LNP,Fairly Safe,6.81
Capalaba,ALP,Safe,15.72
Chatsworth,LNP,Marginal,5.80
Clayfield,LNP,Marginal,4.83
Condamine,LNP,Safe,19.81
Cook,ALP,Safe,11.67
Coomera,LNP,Fairly Safe,6.94
Cooper,ALP,Safe,21.29
Currumbin,LNP,Fairly Safe,6.63
Everton,LNP,Fairly Safe,9.88
Ferny Grove,ALP,Fairly Safe,9.26
Gaven,ALP,Swing,1.43
Gladstone,ALP,Safe,41.39
Glass House,LNP,Fairly Safe,6.86
Greenslopes,ALP,Safe,20.27
Gregory,LNP,Safe,27.88
Gympie,LNP,Safe,17.36
Hervey Bay,LNP,Safe,18.20
Hill,KAP,Safe,39.50
Hinchinbrook,KAP,Safe,15.11
Inala,ALP,Safe,52.19
Ipswich,ALP,Safe,21.77
Ipswich West,ALP,Safe,17.43
Jordan,ALP,Safe,19.81
Kawana,LNP,Safe,26.14
Keppel,ALP,Fairly Safe,6.28
Kurwongbah,ALP,Safe,13.99
Lockyer,LNP,Fairly Safe,8.15
Logan,ALP,Safe,13.65
Lytton,ALP,Safe,24.05
Macalister,ALP,Safe,14.90
Mackay,ALP,Safe,16.67
Maiwar,GRN,Marginal,3.25
Mansfield,ALP,Marginal,3.24
Maroochydore,LNP,Safe,17.03
Maryborough,ALP,Marginal,4.92
Mermaid Beach,LNP,Safe,12.52
Miller,ALP,Safe,16.37
Mirani,ONP,Fairly Safe,9.63
Moggill,LNP,Safe,10.06
Morayfield,ALP,Safe,17.45
Mount Ommaney,ALP,Safe,11.52
Mudgeeraba,LNP,Safe,19.70
Mulgrave,ALP,Safe,21.84
Mundingburra,ALP,Marginal,2.25
Murrumba,ALP,Safe,19.04
McConnel,ALP,Safe,15.73
Nanango,LNP,Safe,26.72
Nicklin,LNP,Safe,10.56
Ninderry,LNP,Safe,16.76
Noosa,LNP,Safe,23.06
Nudgee,ALP,Safe,28.65
Oodgeroo,LNP,Safe,14.47
Pine Rivers,ALP,Safe,12.38
Pumicestone,LNP,Swing,1.68
Redcliffe,ALP,Fairly Safe,9.71
Redlands,ALP,Fairly Safe,6.11
Rockhampton,ALP,Safe,10.38
Sandgate,ALP,Safe,26.96
Scenic Rim,LNP,Safe,26.25
South Brisbane,ALP,Fairly Safe,7.10
Southern Downs,LNP,Safe,26.12
Southport,LNP,Safe,14.49
Springwood,ALP,Fairly Safe,7.19
Stafford,ALP,Safe,24.21
Stretton,ALP,Safe,19.77
Surfers Paradise,LNP,Safe,39.57
Theodore,LNP,Fairly Safe,7.45
Thuringowa,ALP,Fairly Safe,8.30
Toohey,ALP,Safe,20.03
Toowoomba North,LNP,Safe,11.44
Toowoomba South,LNP,Safe,19.96
Townsville,ALP,Swing,0.76
Traeger,KAP,Safe,56.98
Warrego,LNP,Safe,18.91
Waterford,ALP,Safe,21.50
Whitsunday,LNP,Swing,1.36
Woodridge,ALP,Safe,52.74
